10yardfight "10-Yard Fight (USA)"
dai2jisuprotaji "Dai-2-ji Super Robot Taisen (Hack, Italian v0.98)"
daikunogensan "Daiku no Gen-san (Japan)"
daikunogensan2 "Daiku no Gen-san 2 - Akage no Dan no Gyakushuu (Japan)"
daikunogensan2c "Daiku no Gen-san 2 - Akage no Dan no Gyakushuu (Hack, Chinese)"
daikunogensanc "Daiku no Gen-san (Hack, Chinese)"
daimeiro "Dai Meiro: Meikyuu no Tatsujin (Japan)"
dangbridge "Danger Bridge (Unl)"
dannysulsindhe "Danny Sullivan's Indy Heat (USA)"
daoshuai "Dao Shuai (Asia) (Unl)"
darklord "Dark Lord (Japan)"
darkman "Darkman (USA)"
darkmanc "Darkman (Hack, Spanish v2.0)"
darkwingduck "Darkwing Duck (USA)"
darkwingduckc "Darkwing Duck (Hack, Chinese)"
dashgalinalias "Dash Galaxy in the Alien Asylum (USA)"
dashyarou "Dash Yarou (Japan)"
dataman "DataMan (HB)"
datsugoku "Datsugoku (Japan)"
davidcrasaboyandhis "David Crane's A Boy and His Blob - Trouble on Blobolonia (USA)"
daydredav "Day Dreamin' Davey (USA)"
daysofthunder "Days of Thunder (USA)"
ddball "Honoo no Doukyuuji - Dan's Dodge Ball (Hack, English v1.0b)"
ddball2 "Honoo no Doukyuuji - Dan's Dodge Ball 2 (Hack, English v1.0a)"
ddball2j "Honoo no Doukyuuji - Dan's Dodge Ball 2 (Japan)"
ddballj "Honoo no Doukyuuji - Dan's Dodge Ball (Japan)"
ddeburas "Daikaijuu Deburas ~ Giant Monster Flaburas (Hack, English)"
ddeburasj "Daikaijuu Deburas (Japan)"
ddreamddiver "Ddream Ddiver (HB)"
deadfox "Dead Fox (Japan)"
deadfoxc "Ningen Heiki - Dead Fox (Hack, Chinese v2.0)"
deadlytowers "Deadly Towers (USA)"
deadpool "Deadpool (GlobalHack)"
deadpoolsm1 "Deadpool Special Mission (GlobalHack, v1.3, MMC3)"
deadpoolsm2 "Deadpool Special Mission (GlobalHack, v1.3, VCR2)"
deadtomb "Dead Tomb (HB)"
deathbots "Deathbots (USA, Rev 1) (Unl)"
deathrace "Death Race (USA) (Unl)"
deblock "Deblock (Japan)"
defencro "Defender of the Crown (USA)"
defenderii "Defender II (USA)"
defendyncit "Defenders of Dynatron City (USA)"
dejavu "Deja Vu - A Nightmare Comes True!! (USA)"
dejavuhack "Deja Vu - A Nightmare Comes True!! - Uncensored (Hack)"
dellatales "Della DuckTales (Hack)"
demondistrict "Demon District (HB)"
demonsword "Demon Sword (USA)"
dengeki "Dengeki - Big Bang! (Japan)"
dengekien "Dengeki - Big Bang! (Hack, English v2.8a)"
depbomb1 "Depth Bomb v1 (Unl)"
depbomb2 "Depth Bomb v2 (Unl)"
desertescape "Desert Escape! (HB, v1.1)"
destianemp "Destiny of an Emperor (USA)"
destiear "Destination Earthstar (USA)"
destroyer "Destroyer (Unl)"
destructorel "Destructor, El (Unl)"
dethcomplex "Deth Complex (HB)"
dethcomplex2 "Deth Complex 2 (HB)"
devilman "Devil Man (Hack, English)"
devilmanj "Devil Man (Japan)"
devilworld "Devil World (Japan, Rev A)"
dgimmick "Dark Gimmick (Hack, v1.1)"
diabloii "Diablo II (Unl)"
dicktracy "Dick Tracy (USA)"
diehard "Die Hard (USA)"
diehardc "Die Hard (Hack, Spanish v1.1)"
digdug "Dig Dug (Japan)"
digdugii "Dig Dug II (Japan)"
digdugiitroinpa "Dig Dug II - Trouble in Paradise (USA)"
digger "Digger - The Legend of the Lost City (USA)"
digitdevmonmegte "Digital Devil Monogatari - Megami Tensei (Hack, English)"
digitdevmonmegteii "Digital Devil Monogatari - Megami Tensei II (Hack, English v1.04)"
digitdevmonmegteiij "Digital Devil Monogatari - Megami Tensei II (Japan, Rev A)"
digitdevmonmegtej "Digital Devil Monogatari - Megami Tensei (Japan)"
dimshift "Dimension Shift (HB)"
dinohockey "Dino Hockey (Prototype)"
dirtyhar "Dirty Harry - The War Against Drugs (USA)"
diveman "Dive Man (Unl)"
dizzyadv "Dizzy The Adventurer (USA)"
