10yardfight "10-Yard Fight (USA)"
ninjarahoij "Ninjara Hoi! (Japan)"
ninjaryuden "Ninja Ryuuken Den (Japan)"
ninjaryudenc "Ninja Ryuuken Den (Hack, Chinese)"
ninjaryudenii "Ninja Ryuuken Den II: Ankoku no Jashin Ken (Japan)"
ninjaryudeniic "Ninja Ryuuken Den II: Ankoku no Jashin Ken (Hack, Chinese)"
ninjaryudeniii "Ninja Ryuuken Den III: Yomi no Hakobune (Japan)"
ninjaryudeniiic "Ninja Ryuuken Den III: Yomi no Hakobune (Hack, Chinese)"
ninnin "Nin-Nin (HB, v1)"
ninteworcup "Nintendo World Cup (USA)"
nixrelic "Nix: the Paradox Relic (HB, v1.9)"
noahsark "Noah's Ark (Euro)"
nomolos "Nomolos (HB)"
northsouth "North & South (USA)"
northsouthc "North & South (Hack, Spanish v2.0)"
northsouthi "North & South (Hack, Italian v2.0)"
noseyjoe "Nosey Joe - The Power Mystery (HB, v1.2)"
novasqu "Nova the Squirrel (HB)"
nutsmilk "Nuts & Milk (Japan)"
nwc "Nintendo World Championships 1990 (USA)"
obakenoqtar "Obake no Q Tarou - Wanwan Panic (Japan)"
oishinbo "Oishinbo Kyukyoku no Menu 3bon Syoubu (Hack, English)"
oishinboj "Oishinbo Kyukyoku no Menu 3bon Syoubu (Japan)"
oldtowers "Old Towers (HB, v1.1)"
onyankotown "Onyanko Town (Japan)"
oopiquest "Oopi's Quest (HB, v1.2.0)"
oozerdx "Ooze Redux (HB)"
operationwolf "Operation Wolf (USA)"
oratorio "Oratorio (HB)"
orebodybt "Orebody - Binder's Tale (HB, v1.x)"
orebodybtr "Orebody - Binder's Tale (HB, v1.0)"
orebodysr "Orebody - Sand Ripples (HB)"
orphanmoon "Orphan Moon (GlobalHack)"
orphea "Orphea (HB, v1.1)"
othello "Othello (USA)"
othelloh "Othello (HES)"
othelloj "Family Computer - Othello (Japan)"
outlanders "Outlanders (Hack, English v1.01)"
outlandersj "Outlanders (Japan)"
overhorizon "Over Horizon (Japan)"
overlord "Overlord (USA)"
overobj "Over Obj (HB)"
pacdaisa "Pachinko Daisakusen ~ Big Strategy Pachinko (Hack, English v0.97b)"
pacdaisa2 "Pachinko Daisakusen 2 ~ Big Strategy Pachinko 2 (Hack, English)"
pacdaisa2j "Pachinko Daisakusen 2 (Japan)"
pacdaisaj "Pachinko Daisakusen (Japan)"
pacland "Pac-Land (Japan)"
pacman "Pac-Man (USA) (Tengen)"
pacmance "Pac-Man Championship Edition (World)"
pacmania "Pac-Mania (USA)"
pacmanu "Pac-Man (USA) (Namco)"
pacmanx "Pac-Man Xtreme (Hack)"
paganitzu "Paganitzu (HB, beta 05)"
palamedes "Palamedes (USA)"
palamii "Palamedes II - Star Twinkle, Hoshi no Mabataki (Japan)"
pandababy "Panda Baby (Unl)"
pandaworld "Panda World (Unl)"
panicdizzy "Panic Dizzy (HB)"
panicrestaurant "Panic Restaurant (USA)"
paperboy "Paperboy (USA)"
paperboy2 "Paperboy 2 (USA)"
papillongals "Papillon Gals (Japan) (Unl)"
parallelworld "Parallel World (Hack, English)"
parallelworldj "Parallel World (Japan)"
parasolhenbee "Parasol Henbee (Hack, English)"
parasolhenbeej "Parasol Henbee (Japan)"
parasstaraiislii "Parasol Stars - Rainbow Islands II (Euro)"
parisdakralspe "Paris-Dakar Rally Special (Hack, English)"
parisdakralspej "Paris-Dakar Rally Special (Japan)"
parodius "Parodius (Euro)"
parodiusda "Parodius Da! (Hack, English)"
parodiusdac "Parodius Da! (Hack, Spanish v1.1)"
parodiusdaj "Parodius Da! (Japan)"
peacocking "Peacock King ~ Kujaku Ou (Hack, English v1.1)"
peacocking2 "Peacock King II ~ Kujaku Ou II (Hack, English)"
peekaboopoker "Peek-A-Boo Poker (Unl)"
peepartime "Peepar Time (Japan)"
pelusaga "Pelusa Saga - Kaji's Trials (HB)"
pengsokoadv "Penguin - Sokoban Adventure (HB, v1.1)"
penguinkunwars "Penguin-kun Wars (Japan)"
pengusea "Penguin & Seal, The (Unl)"
pentablocat "Pentablocat (HB)"
perfectbowling "Perfect Bowling (Japan)"
perfectpair "Perfect Pair (HB)"
perkele "PERKELE! Suomi 100 vuotta - 5th Anniversary Edition (HB)"
perman "Perman (Japan)"
permapar2 "Perman Part 2 - Himitsu Kessha Madoodan o Taose! (Japan)"
pesterminator "Pesterminator (USA)"
peterpanpir "Peter Pan & The Pirates (USA)"
phantomfighter "Phantom Fighter (USA)"
picopico "Pico Pico Grand Adventure (HB)"
pictionary "Pictionary (USA)"
pinbacvbyred "Pinball CV (Hack)"
pinball "Pinball (USA)"
pinballquest "Pinball Quest (USA)"
pinballquestj "Pinball Quest (Japan)"
pinbot "Pin Bot (USA)"
pinky "Pinky (HB)"
pinkyxmas "Pinky Xmas (HB)"
pirates "Pirates! (USA)"
pixelpoops "Pixel Poops Number Two (HB)"
pizzapop "Pizza Pop! (Hack, English)"
pizzapopev "Pizza Pop! Extend Version (USA)"
pizzapopj "Pizza Pop! (Japan)"
pizzaport "Pizza Portals (HB)"
plasmaball "Plasma Ball (Hack, English)"
plasmaballj "Plasma Ball (Japan)"
platoon "Platoon (USA)"
ploid "Ploid (HB)"
plumchal "Plummet Challenge Game (HB)"
plyuk "Plyuk (HB)"
pocahontas "Pocahontas (Hack)"
pockezau "Pocket Zaurus: Juu Ouken no Nazo (Japan)"
pocohontos "Pocohontos (China) (Unl)"
pogocats "Pogo Cats (HB)"
policeman "Policeman (Unl)"
pooyan "Pooyan (Japan)"
popeye "Popeye (World, Rev A)"
popoteam "Po Po Team (Taiwan)"
porunamabie "Porun-chan no Onigiri Daisuki - Amabie (HB)"
porunchan "Porun-chan No Onigiri Daisuki (HB, v1.1)"
pow "P.O.W. - Prisoners of War (USA)"
powc "P.O.W. - Prisoners of War (Hack, Spanish v2.0)"
powerblade "Power Blade (USA)"
powerblade2 "Power Blade 2 (USA)"
powerblade2c "Power Blade 2 (Hack, Chinese)"
powerbladec "Power Blade (Hack, Chinese)"
powerblazer "Power Blazer (Hack, English)"
powerblazerj "Power Blazer (Japan)"
powerpunchii "Power Punch II (USA)"
powerrangersiv "Power Rangers IV (Taiwan) (Unl)"
powerraniii "Power Rangers III (Taiwan) (Unl)"
powersoccer "Power Soccer (Japan)"
pplanev2 "Paper Plane, The (HB, v2)"
predator "Predator (USA)"
princeofpersia "Prince of Persia (USA)"
princeofpersiac "Prince of Persia (Hack, Spanish)"
princeofpersiae "Prince of Persia (Euro)"
princeofpersiaf "Prince of Persia (France)"
princeofpersiag "Prince of Persia (Germany)"
princeofpersiar "Prince of Persia (Russia)"
princeofpersias "Prince of Persia (Spain)"
princtominsalki "Princess Tomato in Salad Kingdom (USA)"
princtominsalkij "Salad no Kuni no Tomato Hime (Japan)"
princtominsalkit "Salad no Kuni no Tomato Hime (Hack, English v1.03)"
probotector "Probotector (Euro)"
probotectorc "Probotector (Hack, Spanish)"
probotectorretc "Probotector II - Return of the Evil Forces (Hack, Spanish)"
projectblue "Project Blue (HB)"
prowrestling "Pro Wrestling (USA)"
pulveration "Pulveration (Unl)"
punchout "Punch-Out!! (USA)"
punisherthe "Punisher, The (USA)"
purplecapeman "Purple Cape Man (HB)"
pussnboo "Puss 'n Boots - Pero's Great Adventure (USA)"
puyopuyo "Puyo Puyo (Japan)"
puyopuyoc "Puyo Puyo (Hack, Spanish v1.1)"
puzslot "Puzslot (Japan)"
puzznic "Puzznic (USA)"
pyokonodai "Pyokotan's Big Maze (Hack, English)"
pyokonodaij "Pyokotan no Daimeiro (Japan)"
pyramid "Pyramid (Unl)"
pyramidii "Pyramid II (Unl)"
pyramidsra "Pyramids of Ra (HB)"
qbert "Q-bert (USA)"
qboy "Q Boy (Asia) (Unl)"
qbscramble "Quarter Back Scramble (USA, Prototype)"
qbscramblej "Quarter Back Scramble (Japan)"
qiwan "Qi Wang - Chinese Chess (China, MGC-001)"
qix "QIX (USA)"
quadralords "Quadralords (HB)"
quarth "Quarth (Japan)"
quattadv "Quattro Adventure (USA)"
quattroarcade "Quattro Arcade (USA)"
quattrosports "Quattro Sports (USA)"
questforge "Quest Forge (HB)"
questofkithe "Quest of Ki, The (Hack, English v2.0)"
questofkithej "Quest of Ki, The (Japan)"
quinty "Quinty (Japan)"
racketattack "Racket Attack (USA)"
racketsrivals "Rackets & Rivals (Euro)"
radiasen "Radia Senki - Reimei Hen (Hack, English)"
radiasenj "Radia Senki - Reimei Hen (Japan)"
radrac "Rad Racket - Deluxe Tennis II (USA)"
radracer "Rad Racer (USA)"
radracerc "Rad Racer (Hack, Chinese)"
radracerii "Rad Racer II (USA)"
radraceriic "Rad Racer II (Hack, Chinese)"
rafworld "Raf World (Japan)"
raid2020 "Raid 2020 (USA) (Unl)"
raidonbunbay "Raid on Bungeling Bay (USA)"
rainbisloce "Rainbow Islands (Euro)"
rainbisltai "Rainbow Islands (USA)"
rainbisltaij "Rainbow Islands (Japan)"
rainbowcatcher "Rainbow Catcher (HB)"
rainbrite "Rainbow Brite - Journey to Rainbow Land (HB)"
rallybike "Rally Bike (USA)"
ralph4 "Ralph 4 (HB)"
rambo "Rambo (USA, Rev A)"
ramboc "Rambo (Hack, Spanish)"
ramondus "Rise of Amondus, The (HB) (Sly Dog Studios)"
rampage "Rampage (USA)"
rampart "Rampart (USA)"
ranmachan "Ranma vs. Ranma! - Ranma-chan Edition (Hack, v2.2)"
ranmakun "Ranma vs. Ranma! - Ranma-kun Edition (Hack, v2.2)"
rapidcycling "Rapid Cycling (HB)"
ravensgate "Raven's Gate (HB)"
ravensgatemmc1 "Raven's Gate (HB, MMC1 ver.)"
rbibas2 "R.B.I. Baseball 2 (USA)"
rbibas3 "R.B.I. Baseball 3 (USA)"
rbibaseball "R.B.I. Baseball (USA)"
rcproam "R.C. Pro-Am (USA, Rev A)"
rcproamii "R.C. Pro-Am II (USA)"
realddragon "Real Double Dragon (Hack)"
redarremerii "Red Arremer II (Japan)"
reknum1 "Reknum - The Awakening (HB)"
reknum2 "Reknum - Souls Adventure (HB)"
renegade "Renegade (USA)"
renegadec "Renegade (Hack, Spanish)"
renstisho "Ren & Stimpy Show, The - Buckeroo$! (USA)"
rescue "Rescue - The Embassy Mission (USA)"
rescuec "Rescue - The Embassy Mission (Hack, Spanish)"
rescueforce "Rescue Force: Heroes Unchained (HB)"
retanctrayl "Return to Anctrayl (HB)"
revgems "Revolving Gems (HB)"
rgbleeki "R-G-Bleeki! (HB)"
rickrolled "Rick Rolled! (HB, Tech-Demo)"
ringking "Ring King (USA)"
ripisland "Ripple Island (World)"
ripislandj "Ripple Island (Japan)"
ripislandte "Ripple Island (Hack, English)"
riseamo "Rise of Amondus, The (HB)"
rivercitran "River City Ransom (USA)"
rivercitrannek "River City Ransom - Nekketsu Hack (Hack, v1.2)"
roadblasters "RoadBlasters (USA)"
roadfighter "Road Fighter (Japan)"
roadfighterc "Road Fighter (Hack, Chinese v1.2)"
roadrunner "Road Runner (USA) (Unl)"
roadworker "Road Worker (Unl)"
robinhoo "Robin Hood - Prince of Thieves (USA)"
roboccowars "Robocco Wars (Japan)"
robocop "RoboCop (USA)"
robocop2 "RoboCop 2 (USA)"
robocop2c "RoboCop 2 (Hack, Spanish v2.0)"
robocop2h "RoboCop 2 - Responsive Controls v1.1 (Hack)"
robocop3 "RoboCop 3 (USA)"
robocop3c "Robocop 3 (Hack, Spanish v2.0)"
robocopc "RoboCop (Hack, Spanish v0.91)"
robocopsc "RoboCop (Hack, Chinese)"
robocvster "RoboCop Vs The Terminator (USA)"
robodemons "Robodemons (USA) (Unl)"
robowarrior "Robo Warrior (USA)"
rockball "Rockball (Asia) (Unl)"
rocketeerthe "Rocketeer, The (USA)"
rocketman "Rocketman (Unl)"
rocketranger "Rocket Ranger (USA)"
rockinkats "Rockin' Kats (USA)"
rockm2 "Rockman 2 - Dr. Wily no Nazo (Japan)"
rockm3 "Rockman 3 - Dr. Wily no Saigo! (Japan)"
rockm3c "Rockman 3 - Dr. Wily no Saigo! (Hack, Chinese)"
rockm4 "Rockman 4 - Aratanaru Yabou!! (Japan)"
rockm4mi "Rockman 4 - Minus Infinity (Hack, v1.01)"
rockm5 "Rockman 5 - Blues no Wana! (Japan)"
rockm5mp "Rockman 5 - Metropolis (GlobalHack, v1.1a)"
rockm6 "Rockman 6 - Shijou Saidai no Tatakai!! (Japan)"
rockman "Rockman (Japan)"
rockmancx "Rockman CX (Hack, v1.1)"
rocknball "Rock 'n' Ball (USA)"
rodland "Rod Land (Japan)"
rodlande "Rod Land (Euro)"
rollerac "Rollerblade Racer (USA)"
rollerball "Rollerball (USA)"
rollergames "Rollergames (USA)"
rollie "Rollie (HB)"
rollingthunder "Rolling Thunder (USA)"
rollingthunderj "Rolling Thunder (Japan)"
romancia "Romancia (Hack, English)"
romanciaj "Romancia (Japan)"
romancias "Romancia (Hack, Spanish)"
roniustale "Roniu's Tale (HB)"
roshambo "Rock Paper Scissors Lizard Sbock (HB, v0.9b)"
royalflush "Royal Flush: Princess Sidestory (GlobalHack)"
rpoolchal "Robert Byrne's Pool Challenge (Prototype)"
rugrats "Rugrats: Adventures in Gameland (World)"
rushnattack "Rush'n Attack (USA)"
rushnattackc "Rush'n Attack (Hack, Spanish v1.1)"
rygar "Rygar (USA, Rev A)"
saintsaitiamahuxi "Saint Saiya - Tian Ma Huan Xiang (China) (Unl)"
saintseiougden "Saint Seiya - Ougon Densetsu (Hack, English)"
saintseiougdenc "Saint Seiya - Ougon Densetsu (Hack, Spanish)"
saintseiougdenj "Saint Seiya - Ougon Densetsu (Japan)"
saintseiougdenkahen "Saint Seiya - Ougon Densetsu Kanketsu Hen (Hack, English)"
saintseiougdenkahenj "Saint Seiya - Ougon Densetsu Kanketsu Hen (Japan)"
saintseiyaodc "Saint Seiya - Ougon Densetsu (Hack, Chinese v2.0)"
saintseiyaodkhc "Saint Seiya - Ougon Densetsu Kanketsu Hen (Hack, Chinese)"
saiyuukiworld "Saiyuuki World (Japan)"
saiyuukiworldc "Saiyuuki World (Hack, Chinese v1.04)"
saiyuwor2 "Saiyuuki World 2 - Tenjoukai no Majin (Japan)"
saiyuwor2c "Saiyuuki World 2 - Tenjoukai no Majin (Hack, Chinese)"
salamander "Salamander (Japan)"
salamanderc "Salamander (Hack, Chinese v1.2)"
samsjourney "Sam's Journey (HB)"
samuraispirits "Samurai Spirits (Unl)"
sangokushi "Sangokushi: Chuugen no Hasha (Japan)"
sangokushiiihanou "Sangokushi II: Haou no Tairiku (Japan)"
sangokushiiihanouc "Sangokushi II - Haou no Tairiku (Hack, Chinese)"
sanriocup "Sanrio Cup - Pon Pon Volley (Hack, English)"
sanriocupj "Sanrio Cup - Pon Pon Volley (Japan)"
sansaranaga "Sansara Naga (Hack, English v1.01)"
sansaranagaj "Sansara Naga (Japan)"
saturnsmash "Saturn Smash (HB)"
scat "S.C.A.T. - Special Cybernetic Attack Team (USA)"
scramble "Scramble (HB)"
sdbttloozumou "SD Battle Oozumou - Heisei Hero Basho (Japan)"
sdgachapon5 "SD Gundam - Gachapon Senshi 5 - Battle of Universal Century (Japan)"
sdgundgs2 "SD Gundam - Gachapon Senshi 2 - Capsule Senki (Japan)"
sdgundgs2c "SD Gundam - Gachapon Soldier 2 - Capsule War (Hack, Spanish)"
sdgundgs3 "SD Gundam - Gachapon Senshi 3 - Eiyuu Senki (Japan)"
sdgundgs4 "SD Gundam - Gachapon Senshi 4 - New Type Story (Japan)"
sdgunkgm "SD Gundam Story - Knight Gundam Legend (Hack, English v1.03)"
sdgunkgm2 "SD Gundam Gaiden - Knight Gundam Monogatari 2 - Hikari no Kishi (Japan)"
sdgunkgm3 "SD Gundam Gaiden - Knight Gundam Monogatari 3 - Densetsu no Kishi Dan (Japan)"
sdgunkgmj "SD Gundam Gaiden - Knight Gundam Monogatari (Japan, v1.1)"
sdhstang "SD Hero Soukessen - Taose! Aku no Gundan (Japan)"
sdhstangc "SD Hero Soukessen - Taose! Aku no Gundan (Hack, Spanish)"
sdkblade "sdkblade"
sdkbladej "sdkbladej"
secretties "Secret Ties (USA, Prototype)"
sectionz "Section-Z (USA)"
seicross "Seicross (USA)"
seikima2 "Seikima II - Akuma no Gyakushuu (Japan)"
seiredenlic "Seirei Densetsu Lickle (Japan)"
senjounoookami "Senjou no Ookami (Japan)"
sensecity "Senseless City (HB)"
sensisoccer "Sensible Soccer (Euro, Prototype)"
sgthel "Sgt. Helmet - Training Day (HB)"
shadonin "Shadow of the Ninja (USA)"
shadowarepiii "Shadow Warriors Episode II: The Dark Sword of Chaos (Euro)"
shadowgate "Shadowgate (USA)"
shadowwarriors "Shadow Warriors (Euro)"
shancara "Seiryaku Simulation - Planet of Conspiracy - Shancara (Hack, English v1.01)"
shancaraj "Seiryaku Simulation - Inbou no Wakusei - Shancara (Japan)"
shanghai "Shanghai (Japan)"
sharkshark "Shark! Shark! (HB)"
shatterhand "Shatterhand (USA)"
shbouncer "Super Hard Bouncer (HB, v1.1)"
shera "Shera & the 40 Thieves (HB)"
sherade "Shera & the 40 Thieves - Definitive Edition  (HB)"
shin4ninuchma "Shin 4 Nin Uchi Mahjong (Japan)"
shin4ninuchmac "Shin 4 Nin Uchi Mahjong (Hack, Chinese)"
shinobi "Shinobi (USA) (Unl)"
shinobiarc "Shinobi Arcade (Hack, v2.1)"
shinsamspi2 "Shin Samurai Spirits 2 - Haoumaru Jigoku Hen (Taiwan) (Unl)"
shockwave "Shockwave (USA)"
shootingrange "Shooting Range (USA)"
shootufo "Shoot UFO (GlobalHack)"
shovelknight "Shovel Knight (GlobalHack)"
shuffight "Shuffle Fight (Hack, English v1.01)"
shuffightj "Shuffle Fight (Japan)"
shufflepuckcafe "Shufflepuck Cafe (Hack, English)"
shufflepuckcafej "Shufflepuck Cafe (Japan)"
sidepocket "Side Pocket (USA)"
sidepocketc "Side Pocket (Hack, Chinese v2)"
sidewinder "Sidewinder (USA) (Unl)"
silentservice "Silent Service (USA)"
silkworm "Silk Worm (USA)"
silkwormc "Silk Worm (Hack, Chinese v1.1)"
silvasaga "Silva Saga (Hack, English v1.01)"
silvasagaj "Silva Saga (Japan)"
silvereagle "Silver Eagle (Taiwan)"
silversurfer "Silver Surfer (USA)"
simcity "Sim City (Prototype)"
simpsbarmeeradman "Simpsons, The - Bartman Meets Radioactive Man (USA)"
simpsbarvsspamu "Simpsons, The - Bart vs. the Space Mutants (USA, Rev A)"
simpsbarvswor "Simpsons, The - Bart vs. the World (USA)"
sinkingfeeling "Sinking Feeling (HB)"
sirababol "Sir Ababol (HB)"
sirababolr "Sir Ababol Remastered Edition (HB)"
skartfighter "Super Kart Fighter (Hack)"
skateboy "Skate Boy (Spain) (Unl)"
skatecat "SkateCat (HB)"
skateordie "Skate or Die (USA)"
skateordie2 "Skate or Die 2 - The Search for Double Trouble (USA)"
skiordie "Ski or Die (USA)"
skullcro "Skull & Crossbones (USA)"
skydestroyer "Sky Destroyer (Japan)"
skykid "Sky Kid (USA)"
skyshark "Sky Shark (USA, Rev 0A)"
slalom "Slalom (USA)"
slowmole "Slow Mole (HB, v1.2b)"
slowmoleplus "Slow Mole Plus (HB, v0.9b)"
smaruo "Super Maruo (Unl)"
smashtv "Smash T.V. (USA)"
smashtvc "Smash T.V. (Hack, Spanish)"
smb "Super Mario Bros. (World)"
smb2 "Super Mario Bros. 2 (USA, Rev A)"
smb2c "Super Mario Bros. 2 (Hack, Spanish)"
smb2j "Super Mario Bros. 2 J (Japan, MMC3 Conversion Hack)"
smb2wq "Super Mario Bros. 2 - Wacky Quest (Hack)"
smb3 "Super Mario Bros. 3 (USA, Rev A)"
smb3c "Super Mario Bros. 3 (Hack, Chinese)"
smb3cast "Super Mario Bros. 3 (Hack, Spanish v2.2)"
smb3defedi "Super Mario Bros. 3 Definitive Edition (Hack)"
smb3mi "Super Mario Bros. 3Mix (Hack)"
smb8en "Super Mario Bros 8 (GlobalHack, English)"
smb8es "Super Mario Bros 8 (GlobalHack, Spanish)"
smb8se "Super Mario Bros 8 Special Edition (GlobalHack, English)"
smbc "Super Mario Bros. (Hack, Spanish)"
smbchredi "Super Mario Bros. Christmas Edition (Hack, v1.4)"
smbdx "Super Mario Bros. DX - Anniversary Edition (Hack, v4.5)"
smben "Super Mario Bros. Enhanced (Hack)"
smbendssmbha1 "Ende's Super Mario Bros. (Hack)"
smbroop "Super Mario Bro-Op (Hack, v1.1)"
smbsp35th "Super Mario Bros. Special 35th Anniversary (Hack, v1.3)"
smbspe "Super Mario Bros. Special (Hack, v1.0-rc1)"
smbspeh "Super Mario Bros. Special (Hack, Triforce89)"
smbspex1 "Super Mario Bros. Special X1 (Hack)"
smbtwopla "Super Mario Bros. Two Players (Hack)"
smunlimdx "Super Mario Unlimited Deluxe (GlobalHack, v2.4)"
smurfs "Smurfs, The (Euro)"
snailhop "Snail Hop (HB)"
snakeratnrol "Snake Rattle n Roll (USA)"
snakesrevenge "Snake's Revenge (USA)"
snakesrevengec "Snake's Revenge (Hack, Spanish)"
snakky "Snakky (HB)"
snesnake2 "Super NeSnake 2 (HB)"
snoopssilsposp "Snoopy's Silly Sports Spectacular (USA)"
snowbrosj "Snow Bros. (Japan)"
snowbrothers "Snow Brothers (USA)"
snowbrothersc "Snow Brothers (Hack, Spanish)"
snowbrotherssc "Snow Brothers (Hack, Chinese v1.1)"
snr "Swords and Runes (HB)"
snr3 "Swords and Runes III (HB)"
snrle "Swords and Runes Limited Edition (HB)"
soccelea "Soccer League - Winner's Cup (Japan)"
soccer "Soccer (USA)"
sokobanana "Soko Banana (HB)"
sokobananati "Soko Banana - Tinsel Island (HB)"
solarjet "Solar Jetman - Hunt for the Golden Warpship (USA)"
solitaire "Solitaire (USA, Rev 1.1)"
solomonskey "Solomon's Key (USA)"
solomonskeyj "Solomon no Kagi (Japan)"
solonokagi2 "Solomon no Kagi 2: Coolmintou Kyuushutsu Sakusen (Japan)"
solonokagi2h "Solomon no Kagi 2 - Kitsune Attacks! (Hack, v1.6)"
solst "Solstice: The Quest for the Staff of Demnos (USA)"
solstice "Solstice: Sanjigen Meikyuu no Kyoujuu (Japan)"
solstrttk "Solstice - Return to the Kastlerock (Hack, v1.0 hotfix1)"
somari "Somari (Taiwan) (Unl)"
sonic "Sonic the Hedgehog (Hack)"
sonicboom "Sonic Boom (Hack)"
sonson "Son Son (Japan)"
sonsonc "Son Son (Hack, Chinese)"
spacecat "Space Cat (HB)"
spacegulls "Spacegulls (HB, v1.1)"
spaceharrier "Space Harrier (Japan)"
spacehunter "Space Hunter (Japan)"
spaceinvaders "Space Invaders (Japan)"
spacemutdg "Space Mutants - DG BGM (HB)"
spacemuteue "Space Mutants - Extendo UnCut Edition (HB)"
spacemutjk "Space Mutants - JK BGM (HB)"
spaceraft "Space Raft (HB)"
spanky "Spanky Gets Spooky! (HB)"
spartanx "Spartan X (Japan)"
spartanx2 "Spartan X 2 ~ Kung-Fu 2 (Hack, English)"
spartanx2j "Spartan X 2 (Japan)"
speluii "Spelunker II: A Hero's Challenge (Hack, English)"
speluiij "Spelunker II - Yuusha e no Chousen (Japan)"
spelunker "Spelunker (USA)"
spideman "Spider-Man - Return of the Sinister Six (USA)"
spidemanc "Spider-Man - Return of the Sinister Six (Hack, Chinese)"
spiritimpel "Spirit Impel (HB)"
splathou "Splatter House: Super Deformed (Hack, English v2.0)"
splathouj "Splatter House: Wanpaku Graffiti (Japan)"
splatood "SplatooD (HB, v1.0.6)"
splitsecond "Split Second (HB)"
spookotron "Spook-o'-tron (HB)"
spookysoccer "Spooky Soccer (HB, Prototype)"
spoolchal "Sara Parker's Pool Challenge (Unl)"
spot "Spot (USA)"
spyhunter "Spy Hunter (USA)"
spyvsspy "Spy vs Spy (USA)"
spyvsspyc "Spy vs Spy (Hack, Spanish)"
spyvsspyislca "Spy vs Spy - The Island Caper (Hack, English)"
spyvsspyislcaj "Spy vs Spy - Nangoku Shirei!! (Japan)"
spyvsspyj "Spy vs Spy (Japan)"
sqoon "Sqoon (USA)"
squashed "Squashed (USA, Prototype)"
squirchaser "Squirrel Chaser (HB)"
squirdomino "Squirrel Domino (HB)"
srp "Super Royal Pals (Hack)"
srroulette "Super Russian Roulette (HB)"
stanley "Stanley - The Search for Dr. Livingston (USA)"
stardomwar "Stardom Warriors (Hack, English)"
starevil "Star Evil (HB)"
starforce "Star Force (USA)"
stargate "Star Gate (Japan)"
stargazers "Stargazers (Hack, English)"
starlightmario "Starlight Mario (Hack)"
starlightmariou "Starlight Mario Underworld (Hack)"
starluster "Star Luster (Japan)"
starshiphector "Starship Hector (USA)"
starsoldier "Star Soldier (USA)"
startii "Startropics II - Zoda's Revenge (USA)"
startre25tann "Star Trek - 25th Anniversary (USA)"
startrenexgen "Star Trek - The Next Generation (USA)"
startrevfinfr "Star Trek V - The Final Frontier (Prototype)"
startropics "StarTropics (USA)"
startropicsmf "StarTropics - Music Fix (Hack)"
starversus "Star Versus (HB)"
starvoyager "Star Voyager (USA)"
starwaresb "Star Wars - The Empire Strikes Back (USA)"
starwaresbeas "Star Wars - The Empire Strikes Back - Easy (Hack)"
starwars "Star Wars (USA)"
starwarsc "Star Wars (Hack, Spanish)"
starwarseasy "Star Wars - Easy (Hack)"
starwarsj "Star Wars (Namco) (Japan)"
starwarsjc "Star Wars (Namco) (Hack, Spanish)"
starwarst "Star Wars (Namco) (Hack, English)"
sted "Sted - Iseki Wakusei no Yabou (Hack, English)"
stedj "Sted - Iseki Wakusei no Yabou (Japan)"
steellegion "Steel Legion (HB)"
steelmoons "Steel Moons (HB)"
steinsgate "Steins Gate (HB)"
stetrisland "Super Tetris Land - GB skin (Hack)"
stickhun "Stick Hunter - Exciting Ice Hockey (Japan)"
sting "STING (HB)"
stinger "Stinger (USA)"
storiedsword "Storied Sword, The (HB)"
streefig201 "Street Fighter 2010 - The Final Fight (USA)"
streefig201c "Street Fighter 2010 - The Final Fight (Hack, Spanish)"
streefigii "Street Fighter II - The World Warrior (Unl)"
streefigiic "Street Fighter II - The World Warrior (Hack, Spanish)"
streefigiihac "Street Fighter II Hack (Hack of SFIII)"
streefigiii "Street Fighter III (Unl)"
streetheroes "Street Heroes (Taiwan)"
strider "Strider (USA)"
strikewolf "Strike Wolf (USA)"
stuntkids "Stunt Kids (USA)"
sudoku23 "Sudoku 23 (HB)"
sugorque "Sugoro Quest - Dice no Senshitachi (Hack, English)"
sugorquej "Sugoro Quest - Dice no Senshitachi (Japan)"
sukebandeka3 "Sukeban Deka 3 (Hack, English)"
sukebandeka3j "Sukeban Deka 3 (Japan)"
summecar92 "Summer Carnival '92 - Recca (Japan)"
sundafun "Sunday Funday - The Ride (USA) (Unl)"
sunman "Sunman (Euro, Prototype)"
super16in1 "Supervision 16-in-1 (Unl)"
superarabian "Super Arabian (Japan)"
superbatpun "Super Bat Puncher (HB, Demo)"
superc "Super C (USA)"
supercars "Super Cars (USA)"
superchii "Super Chinese II - Dragon Kid (Hack, Chinese v1.4)"
superchinese "Super Chinese (Japan)"
supercontrac "Super Contra (Hack, Chinese)"
superdodgeball "Super Dodge Ball (USA)"
supergun "Super Gun (USA)"
superhomwar "Super Homebrew War (HB)"
superhomwaree "Super Homebrew War - Evercade Edition (HB)"
superman "Superman (USA)"
superman2h "Superman II - Specter Edition (Hack, v2.1)"
supermanh "Superman (Hack, v1.1)"
supermarioallst "Super Mario All Stars NES (Hack)"
supermarwor "Super Mario World (Taiwan) (Unl)"
superpainter "Super Painter (HB)"
superpang "Super Pang (Taiwan)"
superpang2 "Super Pang 2 (Taiwan)"
superpinball "Super Pinball (Japan)"
superpit30t "Super Pitfall 30th Anniversary Edition (HB)"
superpitfall "Super Pitfall (USA)"
superrugby "Super Rugby (Japan)"
supershi "Super Shinobi, The (Unl)"
