1942sgm "1942 (SGM) (HB)"
ozmawar "Ozma Wars (HB)"
pacar "Pacar (HB)"
pacman "Pac-Man (Prototype)"
pacmancol "Pac-Man Collection (HB)"
pang "Pang (HB)"
panic "Space Panic"
peekaboo "Peek-A-Boo (HB)"
pegged "Pegged (HB)"
penguinadv "Penguin Adventure (SGM) (HB)"
penguinland "Penguin Land (HB)"
pengy "Pengy (HB)"
pepper2 "Pepper II"
pillars "Pillars (HB)"
pingpong "Konami's Ping-Pong (HB)"
pippols "Pippols (HB)"
pitfall "Pitfall!"
pitfall2 "Pitfall II: Lost Caverns"
pitfall2a "Pitfall II Arcade (HB)"
pitman "Pitman (HB)"
pitstop "Pitstop"
pitstopa "Pitstop (Alt)"
pooyan "Pooyan (HB)"
popeye "Popeye"
popeyea "Popeye (Alt)"
porkys "Porky's (Prototype)"
power "Power Lords: Quest for Volcan (Prototype)"
pquest "Princess Quest (SGM) (HB)"
prisonofwar "Prisoner of War (SGM) (HB)"
purpdino "Purple Dinosaur Massacre (HB)"
puzzli "Puzzli (HB)"
pyrawbc2 "Pyramid Warp & Battleship Clapton 2 (HB)"
qbert "Q*bert"
qberta "Q*bert (Alt)"
qbertqub "Q*bert Qubes"
qbiqs "qbIqS (SGM) (HB)"
questgc "Quest for the Golden Chalice (HB)"
quintana "Quest for Quintana Roo"
quintanaa "Quest for Quintana Roo (Alt)"
raidbungbay "Raid on Bungeling Bay (SGM) (HB)"
rallyx "Rally-X (SGM) (HB)"
recrescue "Recon Rescue (HB)"
reversdd "Reversi and Diamond Dash (HB)"
ripcord "Rip Cord (HB)"
riskyrick "Risky Rick (HB)"
riveraid "River Raid"
roadfght "Road Fighter (HB)"
robeeblr "Robee Blaster (HB)"
robinh "Robin Hood"
robinha "Robin Hood (Alt)"
robo2084 "Robotron 2084 (HB)"
rockbolt "Rock 'n Bolt"
rockbolta "Rock 'n Bolt (Alt)"
rocky "Rocky: Super Action Boxing"
rocnrope "Roc 'n Rope"
rollerball "Rollerball (SGM) (HB)"
rollover "Rolloverture"
rtheflag "Remember the Flag (HB)"
rtype "R-Type (SGM) (HB)"
runaway "Runaway Train (SGM) (HB)"
sabaseb "Super Action Baseball"
safootb "Super Action Football"
saftsocc "Super Action Football (Super Action Soccer clone)"
saguaro "Saguaro City (HB)"
sammylf "Sammy Lightfoot"
sammylfa "Sammy Lightfoot (Alt)"
sasa "Sasa (SGM) (HB)"
sasoccer "Super Action Soccer"
scobra "Super Cobra"
scobraa "Super Cobra (Alt)"
secalpha "Sector Alpha"
segaflipper "Sega Flipper (HB)"
