1943kai "1943 Kai (Japan)"
racindam "Racing Damashii (Japan)"
raiden "Raiden (Japan)"
rastan2 "Rastan Saga II (Japan)"
reflectron "Reflectron (HB)"
rockon "Rock-on (Japan)"
rtypep1 "R-Type - Part-1 (Japan)"
rtypep2 "R-Type - Part-2 (Japan)"
rtypep2v11 "R-Type - Part-2 (Japan, v1.1)"
ryukyu "Ryuukyuu (Japan)"
sadaki7 "Sadakichi 7 Series - Hideyoshi no Ougon (Japan)"
saigonin "Saigo no Nindou - Ninja Spirit (Japan)"
salamand "Salamander (Japan)"
salamandmini "Salamander (PC-Engine Mini Ed.)"
santatlantean "Santatlantean (HB)"
scdsys "scdsys"
sci "Special Criminal Investigation (Japan)"
scinf "Special Criminal Investigation - Noise Fix (Hack)"
sdragon "Tenseiryuu: Saint Dragon (Japan)"
sekigaha "Sekigahara (Japan)"
sengokmj "Sengoku Mahjong (Japan)"
sf2ce "Street Fighter II' - Champion Edition (Japan)"
shanghai "Shanghai (Japan)"
sharrier "Space Harrier (Japan)"
shingen "Takeda Shingen (Japan)"
shingen1 "Takeda Shingen (Japan, Alt)"
shinobi "Shinobi (Japan)"
shiryo "Shiryou Sensen (Japan)"
shogisi "Shougi Shodan Icchokusen (Japan)"
shogism "Shougi Shoshinsha Muyou (Japan)"
shubibi "Kaizou Choujin Shubibinman (Japan)"
shubibi2 "Kaizou Choujin Shubibinman 2: Aratanaru Teki (Japan)"
sidearms "Side Arms - Hyper Dyne (Japan)"
silentd "Silent Debuggers (Japan)"
sindibad "Sindibad Chitei no Dai Makyuu (Japan)"
skweek "Skweek (Japan)"
smcrush "Super Metal Crusher (Japan)"
smomo "Super Momotarou Dentetsu (Japan)"
smomo2 "Super Momotarou Dentetsu II (Japan)"
sokoban "Sokoban World (Japan)"
soldblad "Soldier Blade (Japan)"
soldblas "Soldier Blade Special - Caravan Stage (Japan)"
sonson2 "Son Son II (Japan)"
spaceinv "Space Invaders - Fukkatsu no Hi (Japan)"
spinpair "Spin Pair (Japan)"
spirwave "Spiral Wave (Japan)"
splatth "Splatterhouse (Japan)"
splatthc "Splatterhouse Chrome (Hack)"
splitres "Split Res (HB)"
sssoldr "Super Star Soldier (Japan)"
stratego "Stratego (Japan)"
stripf2 "Strip Fighter II (Japan)"
susano "Susanoo Densetsu (Japan)"
svolley "Super Volleyball (Japan)"
takameib "Takahashi Meijin no Shin Boukenjima (Japan)"
tatsujin "Tatsujin (Japan)"
tatsujinp "Tatsujin (Japan, Prototype)"
tatsunok "Tatsu no Ko Fighter (Japan)"
tblade "Thunder Blade (Japan)"
terracr2 "Terra Cresta II: Mandoraa no Gyakushuu (Japan)"
timcrus2 "Time Cruise II (Japan)"
titan "Titan (Japan)"
tnzs "New Zealand Story, The (Japan)"
toiletk "Toilet Kids (Japan)"
tongueman "Tongueman's Logic (HB)"
toramich "Tora e no Michi (Japan)"
toyshopb "Toy Shop Boys (Japan)"
tricky "Tricky (Japan)"
tsuppari "Tsuppari Oozumou - Heisei Ban (Japan)"
tvbasket "TV Sports Basketball (Japan)"
tvfootbl "TV Sports Football (Japan)"
tvhockey "TV Sports Hockey (Japan)"
twinbee "Detana!! Twinbee (Japan)"
usaprobs "USA Pro Basketball (Japan)"
uwol "Uwol Quest for Money (HB, v1.1)"
valkyrie "Valkyrie no Densetsu (Japan)"
valkyriee "Valkyrie no Densetsu (Hack, English)"
veigues "Veigues - Tactical Gladiator (Japan)"
victoryr "Victory Run (Japan)"
vigilant "Vigilante (Japan)"
violents "Violent Soldier (Japan)"
volfied "Volfied (Japan)"
waiwaimj "Wai Wai Mahjong - Yukaina Janyuu Tachi (Japan)"
wallaby "Wallaby!! - Usagi no Kuni no Kangaroo Race (Japan)"
wataru "Majin Eiyuu Den Wataru (Japan)"
wbeach "World Beach Volley (Japan)"
wcircuit "World Circuit (Japan)"
winshot "Winning Shot (Japan)"
wjockey "World Jockey (Japan)"
wonderm "Wonder Momo (Japan)"
wring "W-ring - The Double Rings (Japan)"
xevious "Xevious - Fardraut Densetsu (Japan)"
xevioussc "Xevious - Fardraut Densetsu (Hack, Simplified Chinese v1.0)"
xserd "Hisou Kihei - Xserd (Japan)"
xwiber "Cross Wiber: Cyber Combat Police (Japan)"
youkaid "Youkai Douchuuki (Japan)"
yuyu "Yuu Yuu Jinsei - Victory Life (Japan)"
zero4c "Zero4 Champ (Japan, v1.5)"
zero4ca "Zero4 Champ (Japan)"
zero4ce "Zero4 Champ (Hack, English)"
zipang "Zipang (Japan)"
